Sr.No,Round ,Institute ,Program ,Stream ,Seat Type ,Quota ,Category ,Opening Rank ,Closing Rank 
47,Round 1,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,OBC - B,34,69
48,Round 1,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,EWS,43,1082
49,Round 1,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,Open (PwD),513,513
50,Round 1,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,SC,35,158
51,Round 1,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,ST,2187,3152
52,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,All India,Open,30,170
53,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,OBC - A,192,2135
54,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,OBC - B,213,219
55,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,EWS,1828,1828
56,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,Open (PwD),702,702
57,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,SC,214,853
58,Round 1,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,ST,3862,3862
59,Round 1,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,All India,Open,240,800
60,Round 1,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,OBC - A,1261,1552
61,Round 1,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,OBC - B,1043,1206
62,Round 1,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,Open (PwD),1702,1702
63,Round 1,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,SC,1177,1934
64,Round 1,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,ST,4075,4075
65,Round 1,Swami Vivekananda University,MCA,MCA,WBJEE Seats,All India,Open,324,4096
66,Round 1,North Bengal University,MCA,MCA,WBJEE Seats,All India,Open,175,590
67,Round 1,North Bengal University,MCA,MCA,WBJEE Seats,Home State,OBC - A,970,2199
68,Round 1,North Bengal University,MCA,MCA,WBJEE Seats,Home State,OBC - B,593,747
69,Round 1,North Bengal University,MCA,MCA,WBJEE Seats,Home State,EWS,3368,3368
70,Round 1,North Bengal University,MCA,MCA,WBJEE Seats,Home State,SC,754,1941
71,Round 1,North Bengal University,MCA,MCA,WBJEE Seats,Home State,ST,2282,2538
72,Round 1,Techno College Hoogly,MCA,MCA,WBJEE Seats,All India,Open,108,2612
73,Round 1,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,All India,Open,83,268
74,Round 1,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,OBC - A,250,852
75,Round 1,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,OBC - B,273,275
76,Round 1,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,EWS,1621,1621
77,Round 1,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,SC,350,1119
78,Round 1,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,ST,2036,2036
79,Round 1,Vidyasagar University,MCA,MCA,WBJEE Seats,All India,Open,284,1020
80,Round 1,Vidyasagar University,MCA,MCA,WBJEE Seats,Home State,OBC - A,1815,4097
81,Round 1,Vidyasagar University,MCA,MCA,WBJEE Seats,Home State,OBC - B,1051,1505
82,Round 1,Vidyasagar University,MCA,MCA,WBJEE Seats,Home State,EWS,3133,3133
83,Round 1,Vidyasagar University,MCA,MCA,WBJEE Seats,Home State,SC,551,3390
84,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,All India,Open,87,221
85,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,OBC - A,777,1128
86,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,OBC - B,239,265
87,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,EWS,1112,3325
88,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,Open (PwD),2666,3521
89,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,SC,344,1057
90,Round 1,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,ST,1017,4105
91,Round 1,"UNIVERSITY OF ENGINEERING & MANAGEMENT, KOLKATA",MCA,MCA,WBJEE Seats,All India,Open,186,999
92,Round 1,IMS BUSINESS SCHOOL,MCA,MCA,WBJEE Seats,All India,Open,3732,3863
93,Round 2,"Rcc Institute of Information Technology, Kolkata",MCA,MCA,WBJEE Seats,Home State,OBC - B,2436,3781
94,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",MCA,MCA,WBJEE Seats,All India,Open,683,709
95,Round 2,"Techno India University, Salt Lake",MCA,MCA,WBJEE Seats,All India,Open,3022,3964
96,Round 2,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,OBC - A,192,192
97,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,OBC - A,969,1009
98,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,OBC - B,108,114
99,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,EWS,3133,3133
100,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,SC,344,356
101,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",MCA,MCA,WBJEE Seats,Home State,ST,2036,2036
102,Round 2,"Academy of Technology, Adisaptagram, Hooghly",MCA,MCA,WBJEE Seats,All India,Open,2789,4027
103,Round 2,"B.P. Poddar Institute of Management & Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,1614,2839
104,Round 2,"Calcutta Institute of Technology, Uluberia, Howrah",MCA,MCA,WBJEE Seats,All India,Open,678,3775
105,Round 2,"Dr. B. C. Roy Engineering College, Durgapur",MCA,MCA,WBJEE Seats,All India,Open,3325,3325
106,Round 2,"Guru Nanak Institute of Technology, Panihati, Sodepur",MCA,MCA,WBJEE Seats,All India,Open,2656,3686
107,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",MCA,MCA,WBJEE Seats,All India,Open,2321,3581
108,Round 2,"Heritage Institute of Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,391,427
109,Round 2,"Jis College of Engineering, Kalyani, Nadia",MCA,MCA,WBJEE Seats,All India,Open,3148,4005
110,Round 2,"Meghnad Saha Institute of Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,852,4026
111,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,1350,1831
112,Round 2,"Rcc Institute of Information Technology, Kolkata",MCA,MCA,WBJEE Seats,All India,Open,1353,1971
113,Round 2,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,OBC - B,86,86
114,Round 2,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,EWS,1112,1621
115,Round 2,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,SC,161,161
116,Round 2,Jadavpur University,MCA,MCA,WBJEE Seats,Home State,ST,4105,4105
117,Round 2,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,OBC - A,2626,2626
118,Round 2,University Of Calcutta,MCA,MCA,WBJEE Seats,Home State,SC,878,1119
119,Round 2,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,All India,Open,842,1400
120,Round 2,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,OBC - A,1682,3553
121,Round 2,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,OBC - B,1526,1564
122,Round 2,"Kaji Nazrul University, Asansol",MCA,MCA,WBJEE Seats,Home State,SC,2088,3384
123,Round 2,Swami Vivekananda University,MCA,MCA,WBJEE Seats,All India,Open,456,456
124,Round 2,North Bengal University,MCA,MCA,WBJEE Seats,All India,Open,593,754
125,Round 2,North Bengal University,MCA,MCA,WBJEE Seats,Home State,OBC - A,3888,4097
126,Round 2,North Bengal University,MCA,MCA,WBJEE Seats,Home State,OBC - B,781,1754
127,Round 2,North Bengal University,MCA,MCA,WBJEE Seats,Home State,SC,2646,2693
128,Round 2,Techno College Hoogly,MCA,MCA,WBJEE Seats,All India,Open,2790,4112
129,Round 2,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,All India,Open,265,265
130,Round 2,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,OBC - A,3566,3566
131,Round 2,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,OBC - B,312,312
132,Round 2,"University of Kalyani, Department of Computer Sc. & Engineering",MCA,MCA,WBJEE Seats,Home State,SC,1787,2903
133,Round 2,Vidyasagar University,MCA,MCA,WBJEE Seats,All India,Open,1051,1559
134,Round 2,Vidyasagar University,MCA,MCA,WBJEE Seats,Home State,OBC - B,1579,1763
135,Round 2,Vidyasagar University,MCA,MCA,WBJEE Seats,Home State,SC,4036,4036
136,Round 2,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,All India,Open,43,239
137,Round 2,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,OBC - A,1201,3126
138,Round 2,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,OBC - B,275,297
139,Round 2,Maulana Abul Kalam Azad University of Technology,MCA,MCA,WBJEE Seats,Home State,SC,1091,1600
140,Round 2,"UNIVERSITY OF ENGINEERING & MANAGEMENT, KOLKATA",MCA,MCA,WBJEE Seats,All India,Open,1064,1556
